24
34
01 small yellow circle  495.59 336.59 
41 small yellow square  1433.54 41.54 
42 large yellow triangle  931.85 238.85 
43 medium purple triangle  660.47 579.47 
44 large red square  160.38 977.38 
45 medium yellow circle  1537.17 70.17 
46 medium blue cross  65.62 1119.62 
47 small red semi-circle  1419.08 1147.08 
48 large blue semi-circle  812.26 473.26 
49 small purple triangle  749.24 1141.24 
50 medium green square  435.07 721.07 
51 small purple cross  36.32 241.32 
52 small blue semi-circle  1063.08 1160.08 
53 small red circle  867.59 1126.59 
54 large yellow circle  1228.56 1109.56 
55 small green square  1562.54 1137.54 
56 medium green circle  1500.17 1058.17 
57 medium purple circle  53.17 713.17 
58 small green semi-circle  320.08 71.08 
59 small green triangle  799.24 737.24 
60 large purple square  1473.38 879.38 
61 medium red triangle  1355.47 1032.47 
62 small purple semi-circle  1452.08 492.08 
63 large yellow cross  600.10 395.10 
64 large green triangle  1224.85 905.85 
65 large blue triangle  597.85 1073.85 
66 small blue circle  527.59 516.59 
67 small green cross  1410.32 767.32 
68 medium yellow square  528.07 229.07 
69 medium purple square  241.07 1115.07 
70 large green semi-circle  397.26 907.26 
71 large green square  662.38 742.38 
72 large red triangle  1090.85 395.85 
73 large red cross  1304.10 381.10 
74 medium red circle  342.17 1064.17 
75 large blue circle  437.56 123.56 

85
6
01 large green circle  660.56 184.56 
02 small yellow cross  287.32 423.32 
03 medium yellow triangle  1530.47 208.47 
04 medium yellow circle  498.17 164.17 
05 small purple cross  200.32 68.32 
06 large blue triangle  191.85 785.85 
07 large yellow circle  810.56 348.56 
08 small blue cross  1116.32 789.32 
09 small purple circle  535.59 37.59 
10 large yellow triangle  876.85 840.85 
11 medium blue square  64.07 602.07 
12 medium purple cross  623.62 389.62 
13 medium blue circle  73.17 281.17 
14 small blue triangle  393.24 77.24 
15 small yellow triangle  741.24 41.24 
16 medium yellow square  1084.07 518.07 
17 medium purple triangle  376.47 783.47 
18 large blue semi-circle  1445.26 1065.26 
19 large green semi-circle  466.26 598.26 
20 small yellow circle  239.59 355.59 
21 small blue circle  570.59 497.59 
22 small purple square  783.54 230.54 
23 small yellow square  618.54 587.54 
24 medium green circle  1156.17 90.17 
25 large purple cross  735.10 530.10 
26 small red semi-circle  661.08 1160.08 
27 small green triangle  1063.24 62.24 
28 small green cross  1248.32 1135.32 
29 medium purple circle  1184.17 1049.17 
30 large purple square  657.38 720.38 
31 medium red triangle  289.47 623.47 
32 large red square  1004.38 986.38 
33 large green square  1280.38 543.38 
34 small yellow semi-circle  1545.08 339.08 
35 large red triangle  820.85 1055.85 
36 medium red circle  1372.17 867.17 
37 small red circle  581.59 1167.59 
38 small purple triangle  289.24 42.24 
39 large purple triangle  881.85 107.85 
40 medium red square  1500.07 479.07 
41 small green circle  853.59 670.59 
42 medium yellow semi-circle  289.14 949.14 
43 large blue circle  534.56 849.56 
44 small green semi-circle  46.08 917.08 
45 small red square  1131.54 1132.54 
46 medium green cross  1532.62 758.62 
47 large red circle  96.56 1026.56 
48 medium green semi-circle  1311.14 749.14 
49 medium purple square  981.07 1140.07 
50 medium green triangle  1216.47 387.47 
51 large red cross  561.10 1016.10 
52 large yellow cross  268.10 1107.10 
53 large blue cross  181.10 515.10 
54 large yellow square  1216.38 909.38 
55 medium blue semi-circle  1275.14 194.14 
56 small purple semi-circle  154.08 333.08 
57 large yellow semi-circle  298.26 200.26 
58 small red cross  344.32 483.32 
59 small green square  77.54 391.54 
60 medium red cross  1178.62 647.62 
61 large blue square  1446.38 638.38 
62 medium purple semi-circle  1453.14 90.14 
63 medium blue triangle  433.47 1111.47 
64 medium green square  117.07 119.07 
65 large purple circle  1107.56 226.56 
66 small blue semi-circle  47.08 491.08 
67 large purple semi-circle  438.26 370.26 
68 medium yellow cross  1527.62 889.62 
69 medium blue cross  675.62 875.62 
70 large red semi-circle  1011.26 680.26 
71 small red triangle  1317.24 54.24 
72 large green cross  1031.10 380.10 
73 large green triangle  1389.85 323.85 
74 medium red semi-circle  908.14 498.14 
75 small blue square  618.54 49.54 

86
32
01 large red cross  985.10 1060.10 
02 medium yellow square  464.07 947.07 
03 medium yellow circle  178.17 1110.17 
04 large green square  613.38 931.38 
05 medium blue triangle  551.47 1128.47 
06 medium yellow semi-circle  886.14 314.14 
07 medium purple semi-circle  830.14 995.14 
08 small green triangle  235.24 47.24 
09 medium green semi-circle  795.14 819.14 
10 large yellow circle  1097.56 197.56 
11 medium green cross  77.62 1047.62 
12 medium red triangle  875.47 622.47 
13 small red square  687.54 40.54 
14 large yellow semi-circle  745.26 477.26 
15 small blue square  359.54 932.54 
16 large purple circle  1005.56 77.56 
17 small purple triangle  290.24 864.24 
18 small blue semi-circle  728.08 1147.08 
19 medium green square  540.07 521.07 
20 medium purple cross  1170.62 322.62 
21 small yellow cross  1188.32 621.32 
22 large green circle  395.56 1112.56 
23 small purple semi-circle  127.08 477.08 
24 large red square  357.38 582.38 
25 small yellow triangle  223.24 517.24 
26 large yellow cross  1365.10 916.10 
27 small yellow square  933.54 468.54 
28 small yellow semi-circle  1353.08 47.08 
29 small red triangle  45.24 1151.24 
30 medium blue cross  1495.62 361.62 
31 small green square  43.54 234.54 
32 small blue triangle  1375.24 779.24 
33 large purple cross  1473.10 678.10 
34 large green cross  1058.10 427.10 
35 small red semi-circle  1389.08 329.08 
36 large green triangle  580.85 154.85 
37 small yellow circle  127.59 80.59 
38 medium green circle  1108.17 1117.17 
39 large yellow square  1245.38 126.38 
40 large purple square  154.38 912.38 
41 small blue circle  984.59 217.59 
42 medium yellow triangle  408.47 228.47 
43 large blue circle  397.56 806.56 
44 large red semi-circle  814.26 137.26 
45 medium blue circle  287.17 1048.17 
46 small green circle  517.59 839.59 
47 large purple semi-circle  1341.26 504.26 
48 small purple circle  722.59 639.59 
49 medium purple triangle  1511.47 860.47 
50 medium purple circle  721.17 291.17 
51 large yellow triangle  1419.85 1098.85 
52 small red circle  720.59 1060.59 
53 medium red circle  1540.17 491.17 
54 medium blue semi-circle  534.14 353.14 
55 medium blue square  1113.07 936.07 
56 small green semi-circle  1306.08 290.08 
57 small red cross  66.32 815.32 
58 medium red semi-circle  1239.14 1067.14 
59 medium red cross  105.62 378.62 
60 large blue triangle  115.85 629.85 
61 large red circle  323.56 381.56 
62 medium red square  1288.07 673.07 
63 small green cross  887.32 1164.32 
64 large green semi-circle  186.26 216.26 
65 small purple square  995.54 304.54 
66 large blue cross  1051.10 603.10 
67 large blue square  1204.38 814.38 
68 large purple triangle  1494.85 192.85 
69 medium green triangle  258.47 732.47 
70 medium yellow cross  1170.62 521.62 
71 large red triangle  971.85 798.85 
72 small blue cross  426.32 452.32 
73 small purple cross  1508.32 968.32 
74 medium purple square  346.07 94.07 
75 large blue semi-circle  575.26 689.26 

87
63
01 large yellow triangle  401.85 1018.85 
02 small green semi-circle  686.08 1151.08 
03 small green circle  1190.59 973.59 
04 medium purple square  524.07 864.07 
05 large green circle  512.56 688.56 
06 large purple semi-circle  1001.26 508.26 
07 large purple triangle  121.85 435.85 
08 small red cross  125.32 580.32 
09 small yellow square  1320.54 41.54 
10 medium red semi-circle  1101.14 856.14 
11 medium blue triangle  1535.47 149.47 
12 small yellow cross  271.32 374.32 
13 medium green triangle  1529.47 808.47 
14 small green triangle  901.24 965.24 
15 large red circle  1346.56 537.56 
16 small red circle  413.59 389.59 
17 medium red triangle  771.47 68.47 
18 medium blue cross  521.62 1130.62 
19 large blue semi-circle  680.26 784.26 
20 small red semi-circle  320.08 677.08 
21 medium red square  1480.07 529.07 
22 medium yellow square  508.07 61.07 
23 small yellow semi-circle  862.08 326.08 
24 medium yellow cross  220.62 61.62 
25 medium yellow triangle  1333.47 683.47 
26 medium yellow circle  1378.17 142.17 
27 large yellow semi-circle  1203.26 167.26 
28 small blue semi-circle  1361.08 419.08 
29 small blue cross  36.32 856.32 
30 medium green semi-circle  507.14 478.14 
31 large blue triangle  319.85 516.85 
32 medium blue square  367.07 54.07 
33 medium red cross  802.62 550.62 
34 large purple square  348.38 810.38 
35 small red triangle  1287.24 1009.24 
36 large red triangle  1457.85 1054.85 
37 medium purple semi-circle  1002.14 1024.14 
38 small purple triangle  1070.24 680.24 
39 large green cross  136.10 736.10 
40 large green triangle  1354.85 860.85 
41 small purple semi-circle  1459.08 57.08 
42 large blue circle  1185.56 725.56 
43 medium red circle  1474.17 674.17 
44 small blue circle  1559.59 1158.59 
45 small purple square  92.54 1158.54 
46 large blue square  908.38 830.38 
47 large red semi-circle  730.26 400.26 
48 medium green square  1114.07 318.07 
49 small yellow triangle  945.24 1148.24 
50 large yellow circle  627.56 1032.56 
51 small blue square  302.54 1154.54 
52 large purple cross  626.10 165.10 
53 medium purple triangle  522.47 292.47 
54 medium purple cross  970.62 696.62 
55 large green square  1193.38 449.38 
56 small green cross  453.32 581.32 
57 medium purple circle  657.17 600.17 
58 large red square  928.38 108.38 
59 large yellow cross  1196.10 1113.10 
60 medium green cross  772.62 228.62 
61 small purple circle  1557.59 951.59 
62 small purple cross  1107.32 52.32 
63 small green square  1209.54 604.54 
64 small yellow circle  46.59 566.59 
65 large yellow square  119.38 196.38 
66 medium yellow semi-circle  1337.14 295.14 
67 large purple circle  799.56 1101.56 
68 medium blue circle  224.17 884.17 
69 large red cross  1518.10 332.10 
70 small red square  1061.54 1156.54 
71 large blue cross  388.10 210.10 
72 medium green circle  993.17 325.17 
73 medium blue semi-circle  771.14 960.14 
74 large green semi-circle  145.26 1019.26 
75 small blue triangle  240.24 259.24 

88
57
01 large red cross  331.10 439.10 
02 medium green semi-circle  1307.14 356.14 
03 large blue triangle  1264.85 531.85 
04 large purple semi-circle  1051.26 435.26 
05 medium green circle  1441.17 1078.17 
06 small red cross  506.32 240.32 
07 small purple cross  603.32 1164.32 
08 large blue square  751.38 290.38 
09 small blue circle  1555.59 781.59 
10 small red square  278.54 628.54 
11 large yellow circle  398.56 801.56 
12 small blue square  545.54 855.54 
13 medium yellow cross  95.62 852.62 
14 large yellow square  514.38 108.38 
15 medium blue semi-circle  1358.14 92.14 
16 small green square  583.54 783.54 
17 medium yellow semi-circle  878.14 392.14 
18 large yellow cross  871.10 1031.10 
19 large red circle  933.56 187.56 
20 large green cross  1429.10 238.10 
21 large red square  910.38 626.38 
22 small yellow cross  772.32 1160.32 
23 small yellow circle  1153.59 785.59 
24 large blue circle  1208.56 184.56 
25 large purple square  1097.38 643.38 
26 small red circle  1552.59 1146.59 
27 small purple circle  1204.59 324.59 
28 large green semi-circle  1278.26 857.26 
29 small blue triangle  842.24 508.24 
30 large purple circle  512.56 623.56 
31 small red semi-circle  625.08 237.08 
32 medium red semi-circle  1381.14 703.14 
33 medium red circle  169.17 599.17 
34 large green triangle  1031.85 881.85 
35 medium blue cross  552.62 330.62 
36 large purple triangle  650.85 500.85 
37 small green cross  1390.32 436.32 
38 medium purple square  1452.07 812.07 
39 medium green triangle  484.47 449.47 
40 small red triangle  1471.24 507.24 
41 small purple semi-circle  1211.08 720.08 
42 small purple square  1055.54 197.54 
43 small green semi-circle  431.08 319.08 
44 medium purple circle  1544.17 1036.17 
45 medium purple semi-circle  1515.14 372.14 
46 small yellow square  886.54 856.54 
47 small blue cross  779.32 939.32 
48 large red semi-circle  624.26 1018.26 
49 medium green square  823.07 87.07 
50 medium red triangle  87.47 721.47 
51 medium blue triangle  1536.47 76.47 
52 medium yellow circle  359.17 575.17 
53 small green circle  970.59 316.59 
54 small blue semi-circle  51.08 608.08 
55 medium blue square  231.07 743.07 
56 large green square  119.38 1092.38 
57 large purple cross  238.10 894.10 
58 small yellow semi-circle  947.08 1146.08 
59 small yellow triangle  46.24 287.24 
60 medium red square  354.07 55.07 
61 small green triangle  938.24 47.24 
62 large red triangle  727.85 772.85 
63 large yellow triangle  363.85 1073.85 
64 medium purple triangle  1444.47 958.47 
65 medium yellow square  697.07 74.07 
66 large blue semi-circle  153.26 157.26 
67 medium blue circle  391.17 232.17 
68 large blue cross  1273.10 1092.10 
69 medium purple cross  272.62 295.62 
70 small purple triangle  1152.24 989.24 
71 large yellow semi-circle  141.26 415.26 
72 medium green cross  1052.62 73.62 
73 medium yellow triangle  461.47 930.47 
74 medium red cross  1482.62 613.62 
75 large green circle  1101.56 1116.56 

89
14
01 small red triangle  342.24 527.24 
02 medium red triangle  96.47 433.47 
03 medium red square  1446.07 945.07 
04 large purple square  1095.38 447.38 
05 small purple circle  1232.59 960.59 
06 medium yellow triangle  713.47 67.47 
07 medium yellow semi-circle  332.14 1083.14 
08 small yellow square  104.54 74.54 
09 medium blue semi-circle  529.14 71.14 
10 medium green triangle  291.47 659.47 
11 medium yellow circle  1281.17 95.17 
12 small blue cross  425.32 371.32 
13 large green cross  1362.10 766.10 
14 small blue triangle  1297.24 891.24 
15 large yellow circle  1373.56 223.56 
16 medium blue triangle  1262.47 337.47 
17 medium blue cross  1516.62 221.62 
18 medium purple square  1218.07 593.07 
19 medium purple cross  1539.62 1131.62 
20 medium green semi-circle  736.14 864.14 
21 large purple cross  549.10 314.10 
22 medium yellow cross  1541.62 871.62 
23 small yellow semi-circle  209.08 43.08 
24 large blue semi-circle  206.26 846.26 
25 large red cross  887.10 421.10 
26 large purple circle  1415.56 368.56 
27 small purple cross  586.32 821.32 
28 small green circle  423.59 478.59 
29 small green cross  1104.32 655.32 
30 medium purple semi-circle  931.14 1078.14 
31 medium purple circle  644.17 716.17 
32 large yellow cross  924.10 731.10 
33 medium green circle  1022.17 605.17 
34 large red circle  986.56 942.56 
